Vessel ID,Vessel Type,Length (m),ETA Scheduled,Delay (h),ETA Actual,ETD,Service Time (hrs),Assigned Berth,Cargo Volume (tons),Draught (m),Weather at Arrival
VSL_1031,Tanker,247,2025-06-01 02:00:00,0.0,2025-06-01 02:00:00,2025-06-02 10:00:00,32.0,Berth_5,40796,14.73,Windy
VSL_1032,Bulk,350,2025-06-13 01:00:00,4.0,2025-06-13 05:00:00,2025-06-14 16:00:00,35.0,Berth_3,55963,13.47,Windy
VSL_1033,RoRo,309,2025-06-05 21:00:00,3.0,2025-06-06 00:00:00,2025-06-07 16:00:00,40.0,Berth_3,8771,6.36,Clear
VSL_1034,Tanker,344,2025-06-14 02:00:00,0.0,2025-06-14 02:00:00,2025-06-15 22:00:00,44.0,Berth_5,28914,15.1,Storm
VSL_1035,Bulk,240,2025-06-30 20:00:00,0.0,2025-06-30 20:00:00,2025-07-02 03:00:00,31.0,Berth_5,50388,13.23,Clear
VSL_1036,Passenger,235,2025-06-02 16:00:00,0.0,2025-06-02 16:00:00,2025-06-04 01:00:00,33.0,Berth_5,0,7.63,Clear
VSL_1037,Tanker,352,2025-06-29 18:00:00,0.0,2025-06-29 18:00:00,2025-07-01 12:00:00,42.0,Berth_1,27662,15.44,Windy
VSL_1038,RoRo,378,2025-06-23 03:00:00,0.0,2025-06-23 03:00:00,2025-06-25 02:00:00,47.0,Berth_3,3486,8.49,Storm
VSL_1039,RoRo,317,2025-06-04 21:00:00,0.0,2025-06-04 21:00:00,2025-06-06 09:00:00,36.0,Berth_3,4630,7.68,Windy
VSL_1040,Bulk,256,2025-06-18 13:00:00,7.0,2025-06-18 20:00:00,2025-06-20 09:00:00,37.0,Berth_5,17404,13.14,Rain
VSL_1041,Bulk,284,2025-06-14 19:00:00,0.0,2025-06-14 19:00:00,2025-06-15 08:00:00,13.0,Berth_4,48724,14.06,Clear
VSL_1042,Passenger,344,2025-06-20 17:00:00,9.0,2025-06-21 02:00:00,2025-06-22 10:00:00,32.0,Berth_3,0,8.56,Storm
VSL_1043,RoRo,353,2025-06-03 04:00:00,3.0,2025-06-03 07:00:00,2025-06-04 02:00:00,19.0,Berth_3,5589,8.2,Storm
VSL_1044,Container,291,2025-06-02 05:00:00,0.0,2025-06-02 05:00:00,2025-06-04 03:00:00,46.0,Berth_2,10189,9.78,Clear
VSL_1045,Passenger,271,2025-06-18 09:00:00,2.0,2025-06-18 11:00:00,2025-06-18 22:00:00,11.0,Berth_4,0,9.37,Windy
VSL_1046,RoRo,279,2025-06-13 10:00:00,0.0,2025-06-13 10:00:00,2025-06-15 00:00:00,38.0,Berth_4,8838,7.21,Storm
VSL_1047,Tanker,215,2025-06-20 11:00:00,4.0,2025-06-20 15:00:00,2025-06-22 08:00:00,41.0,Berth_5,43308,15.87,Windy
VSL_1048,Container,352,2025-06-12 18:00:00,0.0,2025-06-12 18:00:00,2025-06-14 02:00:00,32.0,Berth_5,13754,11.05,Rain
VSL_1049,Bulk,299,2025-06-26 01:00:00,0.0,2025-06-26 01:00:00,2025-06-27 20:00:00,43.0,Berth_4,24738,13.12,Storm
VSL_1050,Bulk,232,2025-06-15 04:00:00,0.0,2025-06-15 04:00:00,2025-06-16 21:00:00,41.0,Berth_4,44841,14.33,Windy
VSL_1051,Tanker,171,2025-06-25 09:00:00,7.0,2025-06-25 16:00:00,2025-06-26 22:00:00,30.0,Berth_1,30852,15.86,Storm
VSL_1052,RoRo,387,2025-06-29 07:00:00,0.0,2025-06-29 07:00:00,2025-07-01 06:00:00,47.0,Berth_4,9903,6.09,Rain
VSL_1053,Container,232,2025-06-19 18:00:00,0.0,2025-06-19 18:00:00,2025-06-20 06:00:00,12.0,Berth_4,5502,10.81,Storm
VSL_1054,Tanker,220,2025-06-04 04:00:00,0.0,2025-06-04 04:00:00,2025-06-05 16:00:00,36.0,Berth_3,32187,15.56,Storm
VSL_1055,Container,232,2025-06-15 00:00:00,0.0,2025-06-15 00:00:00,2025-06-16 16:00:00,40.0,Berth_3,20989,11.18,Clear
VSL_1056,Passenger,200,2025-06-03 22:00:00,0.0,2025-06-03 22:00:00,2025-06-04 19:00:00,21.0,Berth_3,0,9.49,Clear
VSL_1057,RoRo,306,2025-06-05 04:00:00,0.0,2025-06-05 04:00:00,2025-06-07 02:00:00,46.0,Berth_1,5634,6.42,Rain
VSL_1058,Container,232,2025-06-02 23:00:00,0.0,2025-06-02 23:00:00,2025-06-04 01:00:00,26.0,Berth_3,16746,9.94,Windy
VSL_1059,Tanker,121,2025-06-23 15:00:00,0.0,2025-06-23 15:00:00,2025-06-24 23:00:00,32.0,Berth_2,21140,14.44,Storm
VSL_1060,Passenger,249,2025-06-30 03:00:00,0.0,2025-06-30 03:00:00,2025-07-01 00:00:00,21.0,Berth_5,0,7.36,Storm
VSL_1061,Bulk,339,2025-06-20 14:00:00,0.0,2025-06-20 14:00:00,2025-06-21 12:00:00,22.0,Berth_4,33850,13.69,Windy
VSL_1062,Container,173,2025-06-19 20:00:00,0.0,2025-06-19 20:00:00,2025-06-21 00:00:00,28.0,Berth_3,18903,10.73,Storm
VSL_1063,Bulk,343,2025-06-09 11:00:00,0.0,2025-06-09 11:00:00,2025-06-10 17:00:00,30.0,Berth_1,30545,12.95,Rain
VSL_1064,Passenger,344,2025-06-13 14:00:00,11.0,2025-06-14 01:00:00,2025-06-15 01:00:00,24.0,Berth_4,0,7.69,Clear
VSL_1065,Passenger,245,2025-06-22 04:00:00,0.0,2025-06-22 04:00:00,2025-06-23 04:00:00,24.0,Berth_2,0,8.52,Rain
VSL_1066,Tanker,249,2025-06-28 03:00:00,0.0,2025-06-28 03:00:00,2025-06-28 21:00:00,18.0,Berth_2,16367,16.26,Clear
VSL_1067,Bulk,172,2025-06-19 19:00:00,0.0,2025-06-19 19:00:00,2025-06-20 03:00:00,8.0,Berth_2,20906,14.27,Rain
VSL_1068,RoRo,291,2025-06-08 11:00:00,9.0,2025-06-08 20:00:00,2025-06-09 14:00:00,18.0,Berth_3,6348,7.25,Rain
VSL_1069,Tanker,337,2025-06-11 23:00:00,0.0,2025-06-11 23:00:00,2025-06-13 11:00:00,36.0,Berth_3,32198,16.01,Storm
VSL_1070,Container,279,2025-06-07 00:00:00,0.0,2025-06-07 00:00:00,2025-06-07 20:00:00,20.0,Berth_4,23262,9.91,Storm
VSL_1071,Container,317,2025-06-12 06:00:00,6.0,2025-06-12 12:00:00,2025-06-14 04:00:00,40.0,Berth_3,24154,9.95,Rain
VSL_1072,Container,366,2025-06-29 19:00:00,0.0,2025-06-29 19:00:00,2025-06-30 15:00:00,20.0,Berth_5,23396,9.82,Windy
VSL_1073,Container,322,2025-06-28 02:00:00,0.0,2025-06-28 02:00:00,2025-06-29 13:00:00,35.0,Berth_3,18379,9.29,Clear
VSL_1074,Container,303,2025-06-13 23:00:00,4.0,2025-06-14 03:00:00,2025-06-15 16:00:00,37.0,Berth_5,9445,9.97,Rain
VSL_1075,Passenger,242,2025-06-18 21:00:00,0.0,2025-06-18 21:00:00,2025-06-20 16:00:00,43.0,Berth_2,0,9.21,Clear
VSL_1076,RoRo,374,2025-06-27 06:00:00,0.0,2025-06-27 06:00:00,2025-06-28 14:00:00,32.0,Berth_3,2268,7.73,Windy
VSL_1077,RoRo,399,2025-06-19 23:00:00,0.0,2025-06-19 23:00:00,2025-06-20 20:00:00,21.0,Berth_1,7617,6.92,Rain
VSL_1078,Container,217,2025-06-17 23:00:00,2.0,2025-06-18 01:00:00,2025-06-19 00:00:00,23.0,Berth_4,8003,10.66,Clear
VSL_1079,Container,317,2025-06-15 05:00:00,0.0,2025-06-15 05:00:00,2025-06-16 02:00:00,21.0,Berth_5,11724,9.17,Windy
VSL_1080,Passenger,359,2025-06-10 05:00:00,0.0,2025-06-10 05:00:00,2025-06-11 01:00:00,20.0,Berth_2,0,8.97,Clear
VSL_1081,Bulk,263,2025-06-07 04:00:00,0.0,2025-06-07 04:00:00,2025-06-07 18:00:00,14.0,Berth_2,22204,13.65,Clear
VSL_1082,Tanker,216,2025-06-01 15:00:00,0.0,2025-06-01 15:00:00,2025-06-02 19:00:00,28.0,Berth_2,48591,14.81,Windy
VSL_1083,Bulk,320,2025-06-03 05:00:00,0.0,2025-06-03 05:00:00,2025-06-03 19:00:00,14.0,Berth_5,22448,13.86,Storm
VSL_1084,RoRo,243,2025-06-16 10:00:00,0.0,2025-06-16 10:00:00,2025-06-18 00:00:00,38.0,Berth_4,6127,6.55,Clear
VSL_1085,Passenger,306,2025-06-13 20:00:00,0.0,2025-06-13 20:00:00,2025-06-15 07:00:00,35.0,Berth_1,0,7.15,Storm
VSL_1086,RoRo,378,2025-06-19 04:00:00,0.0,2025-06-19 04:00:00,2025-06-19 16:00:00,12.0,Berth_4,2602,8.25,Rain
VSL_1087,Passenger,267,2025-06-07 07:00:00,10.0,2025-06-07 17:00:00,2025-06-08 03:00:00,10.0,Berth_5,0,8.37,Rain
VSL_1088,RoRo,371,2025-06-26 11:00:00,9.0,2025-06-26 20:00:00,2025-06-28 11:00:00,39.0,Berth_5,5524,6.25,Clear
VSL_1089,Passenger,266,2025-06-10 04:00:00,0.0,2025-06-10 04:00:00,2025-06-11 13:00:00,33.0,Berth_2,0,8.03,Storm
VSL_1090,RoRo,267,2025-06-18 17:00:00,0.0,2025-06-18 17:00:00,2025-06-19 05:00:00,12.0,Berth_3,7448,6.64,Windy
VSL_1091,RoRo,318,2025-06-03 20:00:00,0.0,2025-06-03 20:00:00,2025-06-04 07:00:00,11.0,Berth_1,5537,6.24,Rain
VSL_1092,Tanker,247,2025-06-24 17:00:00,0.0,2025-06-24 17:00:00,2025-06-25 02:00:00,9.0,Berth_5,46810,14.82,Clear
VSL_1093,RoRo,158,2025-06-16 02:00:00,0.0,2025-06-16 02:00:00,2025-06-18 02:00:00,48.0,Berth_4,9111,8.29,Clear
VSL_1094,Bulk,248,2025-06-26 14:00:00,0.0,2025-06-26 14:00:00,2025-06-27 15:00:00,25.0,Berth_5,48253,12.53,Storm
VSL_1095,Tanker,386,2025-06-05 14:00:00,0.0,2025-06-05 14:00:00,2025-06-06 18:00:00,28.0,Berth_3,17529,15.91,Windy
VSL_1096,RoRo,270,2025-06-24 22:00:00,0.0,2025-06-24 22:00:00,2025-06-26 19:00:00,45.0,Berth_5,2215,7.52,Rain
VSL_1097,Container,218,2025-06-08 16:00:00,0.0,2025-06-08 16:00:00,2025-06-09 15:00:00,23.0,Berth_3,16135,9.88,Windy
VSL_1098,Tanker,382,2025-06-25 03:00:00,0.0,2025-06-25 03:00:00,2025-06-27 03:00:00,48.0,Berth_2,12009,14.23,Windy
VSL_1099,RoRo,371,2025-06-18 21:00:00,0.0,2025-06-18 21:00:00,2025-06-20 08:00:00,35.0,Berth_3,4552,7.8,Clear
VSL_1100,Container,263,2025-06-07 15:00:00,0.0,2025-06-07 15:00:00,2025-06-08 07:00:00,16.0,Berth_1,7673,9.68,Storm
VSL_1101,RoRo,231,2025-06-26 21:00:00,0.0,2025-06-26 21:00:00,2025-06-28 07:00:00,34.0,Berth_2,8184,7.28,Rain
VSL_1102,RoRo,179,2025-06-05 17:00:00,0.0,2025-06-05 17:00:00,2025-06-06 17:00:00,24.0,Berth_5,5986,7.32,Rain
VSL_1103,Container,121,2025-06-10 09:00:00,0.0,2025-06-10 09:00:00,2025-06-11 16:00:00,31.0,Berth_1,5251,9.51,Windy
VSL_1104,Tanker,373,2025-06-11 21:00:00,0.0,2025-06-11 21:00:00,2025-06-12 21:00:00,24.0,Berth_1,42596,15.87,Windy
VSL_1105,Tanker,259,2025-06-17 05:00:00,0.0,2025-06-17 05:00:00,2025-06-18 21:00:00,40.0,Berth_5,46616,16.08,Rain
VSL_1106,Container,156,2025-06-17 22:00:00,0.0,2025-06-17 22:00:00,2025-06-18 06:00:00,8.0,Berth_4,7551,11.16,Storm
VSL_1107,Passenger,279,2025-06-18 06:00:00,0.0,2025-06-18 06:00:00,2025-06-20 04:00:00,46.0,Berth_1,0,8.01,Rain
VSL_1108,Tanker,128,2025-06-27 08:00:00,0.0,2025-06-27 08:00:00,2025-06-28 19:00:00,35.0,Berth_3,15775,15.09,Clear
VSL_1109,Tanker,352,2025-06-19 14:00:00,0.0,2025-06-19 14:00:00,2025-06-21 09:00:00,43.0,Berth_1,35936,16.18,Rain
VSL_1110,Tanker,218,2025-06-15 05:00:00,11.0,2025-06-15 16:00:00,2025-06-16 08:00:00,16.0,Berth_1,44773,15.27,Rain
VSL_1111,Bulk,266,2025-06-28 12:00:00,3.0,2025-06-28 15:00:00,2025-06-29 06:00:00,15.0,Berth_3,27928,12.43,Windy
VSL_1112,Container,327,2025-06-08 13:00:00,0.0,2025-06-08 13:00:00,2025-06-10 11:00:00,46.0,Berth_5,23988,10.12,Rain
VSL_1113,Bulk,250,2025-06-07 10:00:00,8.0,2025-06-07 18:00:00,2025-06-09 04:00:00,34.0,Berth_3,33001,13.48,Rain
VSL_1114,Passenger,271,2025-06-04 03:00:00,0.0,2025-06-04 03:00:00,2025-06-05 04:00:00,25.0,Berth_1,0,7.14,Rain
VSL_1115,Container,173,2025-06-28 12:00:00,0.0,2025-06-28 12:00:00,2025-06-28 23:00:00,11.0,Berth_5,17598,10.16,Clear
VSL_1116,RoRo,239,2025-06-25 09:00:00,10.0,2025-06-25 19:00:00,2025-06-27 18:00:00,47.0,Berth_4,6107,6.38,Clear
VSL_1117,RoRo,280,2025-06-05 09:00:00,0.0,2025-06-05 09:00:00,2025-06-06 12:00:00,27.0,Berth_1,6133,7.62,Clear
VSL_1118,Tanker,235,2025-06-19 16:00:00,0.0,2025-06-19 16:00:00,2025-06-21 02:00:00,34.0,Berth_5,20403,14.91,Rain
VSL_1119,RoRo,194,2025-06-18 10:00:00,0.0,2025-06-18 10:00:00,2025-06-19 13:00:00,27.0,Berth_1,8465,7.58,Rain
VSL_1120,Container,232,2025-06-15 01:00:00,0.0,2025-06-15 01:00:00,2025-06-15 13:00:00,12.0,Berth_4,14310,9.63,Windy
VSL_1121,Bulk,223,2025-06-04 11:00:00,0.0,2025-06-04 11:00:00,2025-06-06 06:00:00,43.0,Berth_3,35331,14.42,Storm
VSL_1122,Tanker,373,2025-06-26 09:00:00,0.0,2025-06-26 09:00:00,2025-06-26 20:00:00,11.0,Berth_4,31527,16.03,Clear
VSL_1123,RoRo,346,2025-06-22 16:00:00,5.0,2025-06-22 21:00:00,2025-06-24 02:00:00,29.0,Berth_2,9791,6.54,Storm
VSL_1124,Tanker,231,2025-06-10 15:00:00,5.0,2025-06-10 20:00:00,2025-06-11 10:00:00,14.0,Berth_1,43271,15.93,Clear
VSL_1125,Bulk,218,2025-06-27 08:00:00,0.0,2025-06-27 08:00:00,2025-06-27 22:00:00,14.0,Berth_2,25633,12.45,Windy
VSL_1126,RoRo,272,2025-06-02 20:00:00,0.0,2025-06-02 20:00:00,2025-06-04 04:00:00,32.0,Berth_2,9942,7.11,Rain
VSL_1127,RoRo,313,2025-06-10 23:00:00,8.0,2025-06-11 07:00:00,2025-06-12 23:00:00,40.0,Berth_2,5013,7.7,Storm
VSL_1128,RoRo,282,2025-06-13 00:00:00,0.0,2025-06-13 00:00:00,2025-06-14 06:00:00,30.0,Berth_4,9915,6.41,Windy
VSL_1129,Passenger,327,2025-06-06 21:00:00,8.0,2025-06-07 05:00:00,2025-06-08 03:00:00,22.0,Berth_3,0,8.39,Clear
VSL_1130,Passenger,288,2025-06-06 07:00:00,3.0,2025-06-06 10:00:00,2025-06-07 10:00:00,24.0,Berth_3,0,8.12,Windy
VSL_1131,RoRo,280,2025-06-04 21:00:00,0.0,2025-06-04 21:00:00,2025-06-05 17:00:00,20.0,Berth_3,9622,6.07,Clear
VSL_1132,RoRo,187,2025-06-22 10:00:00,2.0,2025-06-22 12:00:00,2025-06-23 17:00:00,29.0,Berth_3,3839,6.07,Clear
VSL_1133,Bulk,396,2025-06-07 05:00:00,8.0,2025-06-07 13:00:00,2025-06-08 03:00:00,14.0,Berth_2,45743,13.12,Clear
VSL_1134,Container,254,2025-06-01 19:00:00,3.0,2025-06-01 22:00:00,2025-06-02 20:00:00,22.0,Berth_5,24951,10.32,Clear
VSL_1135,Bulk,314,2025-06-11 03:00:00,4.0,2025-06-11 07:00:00,2025-06-12 08:00:00,25.0,Berth_4,56874,13.98,Storm
VSL_1136,Container,247,2025-06-05 17:00:00,0.0,2025-06-05 17:00:00,2025-06-07 06:00:00,37.0,Berth_1,21887,10.44,Windy
VSL_1137,Bulk,152,2025-06-19 07:00:00,0.0,2025-06-19 07:00:00,2025-06-19 13:00:00,6.0,Berth_2,52399,13.04,Clear
VSL_1138,Passenger,295,2025-06-16 09:00:00,0.0,2025-06-16 09:00:00,2025-06-16 19:00:00,10.0,Berth_5,0,8.27,Clear
VSL_1139,RoRo,141,2025-06-21 01:00:00,0.0,2025-06-21 01:00:00,2025-06-21 09:00:00,8.0,Berth_3,4077,7.87,Rain
VSL_1140,Container,357,2025-06-15 17:00:00,0.0,2025-06-15 17:00:00,2025-06-16 14:00:00,21.0,Berth_1,24067,10.84,Rain
VSL_1141,Tanker,277,2025-06-02 21:00:00,0.0,2025-06-02 21:00:00,2025-06-04 01:00:00,28.0,Berth_2,40449,16.45,Storm
VSL_1142,Tanker,157,2025-06-06 18:00:00,0.0,2025-06-06 18:00:00,2025-06-07 04:00:00,10.0,Berth_4,12423,14.73,Clear
VSL_1143,Tanker,349,2025-06-02 18:00:00,0.0,2025-06-02 18:00:00,2025-06-03 20:00:00,26.0,Berth_5,36098,16.47,Storm
VSL_1144,Bulk,170,2025-06-02 13:00:00,6.0,2025-06-02 19:00:00,2025-06-04 18:00:00,47.0,Berth_1,57974,12.83,Clear
VSL_1145,Bulk,383,2025-06-19 15:00:00,0.0,2025-06-19 15:00:00,2025-06-20 22:00:00,31.0,Berth_4,37219,14.43,Storm
VSL_1146,RoRo,146,2025-06-16 16:00:00,2.0,2025-06-16 18:00:00,2025-06-18 09:00:00,39.0,Berth_4,2646,7.08,Windy
VSL_1147,Passenger,345,2025-06-13 12:00:00,6.0,2025-06-13 18:00:00,2025-06-14 20:00:00,26.0,Berth_3,0,7.77,Storm
VSL_1148,Tanker,396,2025-06-30 10:00:00,0.0,2025-06-30 10:00:00,2025-07-01 20:00:00,34.0,Berth_1,33105,15.54,Storm
VSL_1149,Bulk,216,2025-06-28 06:00:00,11.0,2025-06-28 17:00:00,2025-06-29 02:00:00,9.0,Berth_4,38809,13.28,Windy
VSL_1150,Container,266,2025-06-07 02:00:00,0.0,2025-06-07 02:00:00,2025-06-08 22:00:00,44.0,Berth_4,6140,9.32,Windy
VSL_1151,Bulk,123,2025-06-16 10:00:00,0.0,2025-06-16 10:00:00,2025-06-17 16:00:00,30.0,Berth_1,54655,12.38,Storm
VSL_1152,Bulk,154,2025-06-16 20:00:00,0.0,2025-06-16 20:00:00,2025-06-18 06:00:00,34.0,Berth_5,24023,13.32,Storm
VSL_1153,Bulk,311,2025-06-28 17:00:00,2.0,2025-06-28 19:00:00,2025-06-29 18:00:00,23.0,Berth_1,27192,13.25,Storm
VSL_1154,Passenger,168,2025-06-06 00:00:00,0.0,2025-06-06 00:00:00,2025-06-06 22:00:00,22.0,Berth_4,0,7.54,Rain
VSL_1155,RoRo,136,2025-06-09 12:00:00,2.0,2025-06-09 14:00:00,2025-06-10 03:00:00,13.0,Berth_4,3414,8.25,Storm
VSL_1156,Container,291,2025-06-30 02:00:00,0.0,2025-06-30 02:00:00,2025-07-01 04:00:00,26.0,Berth_1,23022,10.36,Rain
VSL_1157,Tanker,339,2025-06-30 21:00:00,6.0,2025-07-01 03:00:00,2025-07-03 01:00:00,46.0,Berth_5,24695,14.3,Windy
VSL_1158,Tanker,277,2025-06-11 02:00:00,9.0,2025-06-11 11:00:00,2025-06-13 00:00:00,37.0,Berth_5,34176,15.17,Windy
VSL_1159,Passenger,165,2025-06-04 16:00:00,0.0,2025-06-04 16:00:00,2025-06-05 02:00:00,10.0,Berth_4,0,8.31,Storm
VSL_1160,Passenger,125,2025-06-04 03:00:00,0.0,2025-06-04 03:00:00,2025-06-04 17:00:00,14.0,Berth_1,0,8.12,Rain
VSL_1161,Tanker,218,2025-06-24 12:00:00,0.0,2025-06-24 12:00:00,2025-06-26 10:00:00,46.0,Berth_2,38352,15.26,Clear
VSL_1162,Container,352,2025-06-23 02:00:00,0.0,2025-06-23 02:00:00,2025-06-23 17:00:00,15.0,Berth_2,15572,11.34,Windy
VSL_1163,Bulk,156,2025-06-23 03:00:00,0.0,2025-06-23 03:00:00,2025-06-24 03:00:00,24.0,Berth_3,27864,13.59,Rain
VSL_1164,Tanker,399,2025-06-27 16:00:00,0.0,2025-06-27 16:00:00,2025-06-28 17:00:00,25.0,Berth_1,42936,15.6,Windy
VSL_1165,Tanker,300,2025-06-29 02:00:00,0.0,2025-06-29 02:00:00,2025-06-30 23:00:00,45.0,Berth_5,32126,16.11,Clear
VSL_1166,Container,214,2025-06-04 11:00:00,0.0,2025-06-04 11:00:00,2025-06-04 19:00:00,8.0,Berth_5,13672,10.63,Storm
VSL_1167,Passenger,218,2025-06-28 06:00:00,0.0,2025-06-28 06:00:00,2025-06-28 13:00:00,7.0,Berth_5,0,7.72,Rain
VSL_1168,RoRo,307,2025-06-11 10:00:00,2.0,2025-06-11 12:00:00,2025-06-12 19:00:00,31.0,Berth_1,3294,7.1,Storm
VSL_1169,RoRo,235,2025-06-09 16:00:00,0.0,2025-06-09 16:00:00,2025-06-10 19:00:00,27.0,Berth_3,9057,7.8,Rain
VSL_1170,RoRo,310,2025-06-06 13:00:00,0.0,2025-06-06 13:00:00,2025-06-07 18:00:00,29.0,Berth_1,4614,6.6,Clear
VSL_1171,Bulk,372,2025-06-20 04:00:00,1.0,2025-06-20 05:00:00,2025-06-21 02:00:00,21.0,Berth_3,40175,14.16,Storm
VSL_1172,Tanker,280,2025-06-07 19:00:00,0.0,2025-06-07 19:00:00,2025-06-08 21:00:00,26.0,Berth_3,22440,15.91,Storm
VSL_1173,Passenger,375,2025-06-20 22:00:00,0.0,2025-06-20 22:00:00,2025-06-22 11:00:00,37.0,Berth_4,0,7.06,Storm
VSL_1174,Passenger,247,2025-06-20 12:00:00,6.0,2025-06-20 18:00:00,2025-06-21 15:00:00,21.0,Berth_1,0,7.13,Storm
VSL_1175,Passenger,137,2025-06-28 21:00:00,1.0,2025-06-28 22:00:00,2025-06-30 10:00:00,36.0,Berth_1,0,8.08,Rain
VSL_1176,Bulk,342,2025-06-18 04:00:00,1.0,2025-06-18 05:00:00,2025-06-19 10:00:00,29.0,Berth_5,51819,12.49,Rain
VSL_1177,Container,173,2025-06-17 11:00:00,0.0,2025-06-17 11:00:00,2025-06-19 01:00:00,38.0,Berth_5,14165,11.06,Clear
